and	oraz
catholic	katolickiej
catholic	katolickiego
artists	artystów
artists	artyści
artists	wykonawcy
includes	zawiera
includes	obejmuje
view	widok
view	zobacz
almost	prawie
baseball	baseballu
baseball	baseball
seven	siódemka
seven	siedmiu
seven	siedem
ever	kiedykolwiek
ever	ever
provide	zapewnić
provide	zapewniać
technology	technologia
technology	technologii
technology	technologie
technology	technika
olympics	olimpijskich
olympics	olimpiada
olympics	olimpiady
future	przyszłości
future	przyszłe
future	przyszłość
formed	utworzony
formed	utworzona
formed	utworzone
images	zdjęcia
images	obrazów
images	obrazy
images	obrazki
los	los
results	rezultaty
results	wyniki
return	wróć
return	zwrot
return	zamian
return	powrót
quality	jakości
quality	jakość
construction	konstrukcja
construction	budowa
construction	budownictwo
front	front
front	przodu
front	przód
cover	okładki
cover	okładka
cover	pokrycie
model	wzór
model	model
model	modelka
despite	pomimo
despite	mimo
read	czytaj
read	czytać
read	przeczytaj
material	surowiec
material	tworzywo
material	materiał
material	materiały
strong	silna
strong	silny
strong	mocne
strong	silne
strong	mocna
coach	trener
henry	henryka
henry	henryk
henry	henry
footballers	piłkarzy
mark	znak
mark	oznacz
mark	zaznacz
mark	marka
mark	mark
rev	rev
organization	organizacja
organization	organizacji
studies	studia
studies	badania
studies	studiów
federal	federalny
federal	federalnej
federal	federalne
federal	federalna
richard	ryszard
richard	ryszarda
richard	richard
html	html
virginia	virginia
virginia	wirginia
virginia	wirginii
car	auto
car	samochód
car	car
attack	atak
conference	konferencje
conference	konferencję
conference	konferencja
conference	konferencji
study	nauka
study	studium
study	badania
study	badanie
brother	bracie
brother	brat
names	imiona
names	nazwiska
names	nazwy
writer	autor
writer	pisarz
characters	znaków
characters	postacie
characters	znaki
characters	postaci
characters	bohaterowie
characters	postać
musical	muzyczne
musical	musical
musical	muzyczny
nothing	nic
border	granice
border	granicy
border	granica
border	granicę
medical	medyczna
medical	medyczny
medical	medyczne
countries	krajów
countries	kraje
past	przeszłość
past	przeszłości
writing	pisanie
writing	pisać
writing	pismo
makes	czyni
interest	interesie
interest	odsetki
interest	odsetek
interest	zainteresowanie
interest	zainteresowania
provided	zapewnione
provided	dostarczone
killed	zabici
killed	zabił
killed	zabita
killed	zabity
medal	medal
signed	podpisany
signed	podpisano
signed	podpisana
signed	podpisane
largest	największych
largest	największa
largest	największe
largest	największy
label	etykieta
label	etykiety
label	etykiecie
label	oznakowanie
fair	sprawiedliwy
fair	uczciwie
fair	targi
fair	fair
fair	jarmark
search	szukaj
search	wyszukiwanie
search	wyszukiwarka
bay	zatoka
bay	zatoki
bay	bay
reference	odniesienie
reference	referencyjne
reference	odniesienia
especially	zwłaszcza
especially	szczególnie
removed	usunięto
removed	usunięte
removed	usunięta
removed	usunięty
library	bibliotekę
library	biblioteka
library	biblioteki
library	bibliotece
eventually	ostatecznie
eventually	ewentualnie
management	management
management	zarządzanie
management	kierownictwo
management	zarząd
management	zarządzania
references	odniesienia
references	referencji
references	odnośniki
references	referencje
features	cechy
features	funkcje
features	właściwości
navy	navy
navy	marynarka
navy	marynarki
guitar	gitary
guitar	gitara
guitar	gitarze
hill	wzgórza
hill	wzgórze
hill	hill
historical	historyczne
historical	historyczny
historical	historyczna
lower	niższy
lower	niżej
lower	lower
lower	niższa
lower	dolna
daughter	córka
daughter	córeczka
appointed	mianowany
appointed	wyznaczony
appointed	wyznaczona
reading	czytania
reading	czytanie
reading	czytam
reading	lektura
reading	odczyt
yet	acz
yet	jeszcze
systems	systemy
debut	debiut
movement	przemieszczanie
movement	ruch
specific	szczególne
specific	konkretne
specific	specyficzne
always	zawsze
actor	aktora
actor	aktor
natural	naturalne
natural	naturalny
natural	naturalnych
natural	naturalna
clear	czysto
coast	wybrzeże
coast	wybrzeżu
let	pozwól
got	got
got	mam
chicago	chicago
championships	championships
pennsylvania	pensylwanii
ten	dziesięć
ten	dziesiątka
performed	wykonywana
performed	przeprowadzone
performed	wykonywanych
performed	wykonywane
performed	wykonane
individual	indywidualny
individual	indywidualne
individual	poszczególnych
individual	indywidualnie
designed	zaprojektowane
designed	zaprojektowana
designed	zaprojektowano
designed	zaprojektowany
designed	zaprojektowanych
rule	zasada
rule	reguła
etc	etc
etc	itd
etc	itp
lists	listy
lists	wykazy
paris	paryżu
paris	paryż
thought	myślałem
thought	myślał
thought	myśl
thought	pomyślał
brown	brązowa
brown	brown
brown	brązowe
brown	brąz
brown	brązowy
hand	rękę
hand	dłoń
hand	ręka
needs	potrzebuje
needs	potrzeby
needs	potrzeb
reliable	wiarygodne
reliable	niezawodne
reliable	rzetelne
reliable	wiarygodny
reliable	niezawodny
smith	smitha
smith	smith
generally	generalnie
generally	ogólnie
base	baza
base	podstawa
base	base
base	bazy
sometimes	czasami
sometimes	czasem
florida	florydy
florida	floryda
capital	kapitał
capital	stolica
capital	kapitału
capital	stolicy
capital	capital
valley	doliny
valley	valley
valley	dolina
valley	dolinie
bank	banku
bank	bankowe
bank	bank
gave	dały
gave	dał
ground	ziemi
ground	grunt
ground	mielone
ground	podłoże
reached	osiągnięta
reached	osiągnięte
reached	osiągnął
reached	osiągnięto
reached	osiągnięty
italy	włochy
energy	energię
energy	energia
energy	energii
energy	energy
believe	uwierz
leader	dowódca
leader	lider
leader	przywódca
leader	leader
active	aktywne
active	aktywna
active	aktywni
active	aktywny
active	czynne
online	online
block	bloku
block	zablokuj
block	zablokować
block	blok
bridge	most
bridge	mostek
bridge	bridge
families	rodziny
families	rodzin
changes	zmiany
changes	zmian
industry	przemysłu
industry	branża
industry	przemysł
collection	zbieranie
collection	kolekcja
collection	zbiór
collection	kolekcji
request	zapytanie
request	prośba
request	żądanie
request	wniosek
soon	niedługo
soon	wkrótce
leading	prowadząca
leading	prowadzący
leading	prowadzące
leading	prowadzenie
leading	prowadząc
olympic	olimpijski
olympic	olympic
olympic	olimpijskie
sold	sprzedane
sold	sprzedano
sold	sprzedany
sold	sprzedana
writers	pisarzy
writers	pisarze
professor	profesor
professor	profesorze
studio	studia
studio	studio
mexico	meksyk
competition	rywalizacja
competition	zawody
competition	konkurencja
competition	konkurs
competition	konkurencji
campaign	kampanie
campaign	kampanię
campaign	kampania
campaign	kampanii
org	org
theatre	teatr
theatre	teatru
anything	cokolwiek
particular	szczególności
empire	imperium
empire	empire
length	długość
length	długości
islands	wyspy
singer	singer
singer	piosenkarz
singer	wokalista
singer	piosenkarka
create	tworzy
create	stwórz
create	tworzyć
create	utwórz
redirect	przekierowanie
redirect	przekierować
additional	dodatkowa
additional	dodatkowe
additional	dodatkowy
soviet	sowiecki
soviet	radziecki
market	rynek
market	targ
market	rynku
market	market
words	slowa
words	słowa
words	słów
producer	wytwórca
producer	producent
producer	producenta
notes	nuty
notes	noty
notes	notatek
notes	notatki
notes	zauważa
hockey	hokej
hockey	hokeja
novel	powieść
novel	powieści
code	kodu
code	code
code	kod
referee	sędzia
fourth	czwarty
fourth	czwartego
fourth	czwarte
fourth	czwarta
sport	sport
van	vana
van	furgonetka
van	van
mary	maryjo
mary	maria
mary	maryja
mary	mary
mary	maryi
airport	lotnisko
sound	dźwięki
sound	sound
sound	dźwięk
status	status
status	statusu
irish	irlandczycy
irish	irlandzkie
irish	irlandzki
irish	irlandczyk
irish	irlandzka
placed	umieszczone
placed	umieszczona
placed	umieszczony
child	dziecko
child	child
idea	pomysl
idea	pomysł
idea	idea
foreign	zagraniczny
foreign	zagranicznych
foreign	obce
foreign	zagraniczna
foreign	zagraniczne
municipality	gmina
register	rejestru
register	rejestr
eight	ośmiu
eight	ósemka
eight	osiem
problems	problemy
native	rdzenni
native	rodzimy
coverage	pokrycia
coverage	pokrycie
channel	kanału
channel	kanały
channel	kanał
channel	channel
parliament	parlament
parliament	parlamentowi
parliament	parlamentu
username	username
edition	wydanie
edition	wyd
edition	edycja
minor	drobne
says	mowi
says	mówi
whose	czyja
whose	czyj
whose	czyje
foundation	podstawa
foundation	fundacja
foundation	fundacji
foundation	podkład
foundation	foundation
units	jednostki
units	jednostek
units	agregaty
movie	filmu
movie	film
runs	biegnie
runs	biega
ice	lód
ice	ice
ice	lodu
limited	ograniczona
limited	ograniczony
limited	ograniczone
limited	limited
unit	jednostka
unit	jednostki
unit	unit
student	studentka
student	studenci
student	uczeń
student	uczennica
student	student
previously	wcześniej
previously	poprzednio
governor	gubernator
complete	kompletny
complete	kompletna
complete	kompletne
test	test
test	badanie
test	testy
test	próba
nominated	nominowany
bill	bill
bill	rachunek
parts	części
vocals	wokal
theory	teorie
theory	teorii
theory	teoria
regional	regionalnych
regional	regionalne
regional	regionalny
regional	regionalna
account	konto
account	rachunek
account	konta
vote	głosujemy
vote	głosowanie
vote	głosuj
computer	komputery
computer	komputer
computer	komputera
carolina	carolina
carolina	karolina
tournament	turniej
tournament	turnieju
poland	poland
poland	polsce
poland	polski
poland	polska
wales	walii
winning	wygraną
winning	wygrywa
winning	wygrana
winning	wygrywają
lot	wiele
lot	dużo
hospital	szpitalu
hospital	szpitalne
hospital	szpital
taking	wzięcie
taking	branie
taking	biorąc
taking	przyjmowanie
mountain	górski
mountain	mountain
mountain	góra
mountain	góry
higher	wyżej
higher	wyższe
higher	wyższy
higher	wyższa
cases	przypadkach
cases	sprawy
cases	przypadki
angeles	angeles
editing	montaż
editing	edycji
editing	edycja
replaced	zastąpiony
replaced	zastąpiła
replaced	zastąpił
replaced	zastąpić
replaced	zastąpiona
replaced	zastąpione
food	żywności
food	pokarm
food	żywność
food	jedzenie
multiple	wielokrotne
multiple	wiele
multiple	wielu
likely	prawdopodobne
likely	prawdopodobnie
likely	prawdopodobny
terms	warunki
terms	terminy
thing	rzecz
square	plac
square	kwadrat
square	kwadratowy
square	square
square	kwadratowe
try	spróbuj
topic	temat
topic	tematu
topic	zagadnienie
woman	kobiety
woman	kobieta
officer	oficer
officer	funkcjonariusz
officer	oficerze
categories	kategorii
categories	kategorie
greek	grecki
greek	grecka
greek	grecja
greek	greckie
recent	niedawno
recent	najnowsze
recent	ostatnie
recent	ostatnich
recent	ostatnio
sent	wysłany
sent	wysłane
sent	wysłano
copyright	autorskie
speed	prędkości
speed	speed
speed	prędkość
speed	szybkość
templates	szablony
money	pieniądze
money	pieniądz
money	kasy
money	kasa
money	money
saw	widział
saw	piły
saw	piła
senior	senior
senior	starszy
selected	wybrany
selected	zaznaczone
selected	wybrane
selected	wybrana
selected	wybrano
introduced	wprowadzone
introduced	wprowadzono
introduced	wprowadzony
introduced	wprowadzona
politician	polityk
politician	polityka
politician	politycy
true	prawda
true	prawdziwe
true	true
required	wymagana
required	wymagane
required	wymagany
regular	zwykły
regular	regularne
regular	regularnie
regular	regularny
awarded	udzielone
awarded	przyznana
awarded	przyznane
awarded	przyznany
awarded	przyznano
commercial	komercyjny
commercial	komercyjne
cities	miasta
contains	zawiera
trade	handlu
trade	handel
trade	trade
degree	stopień
anti	anty
birth	urodzenia
birth	poród
birth	narodziny
sun	słońce
sun	sun
sun	słońca
sun	słoneczko
finished	skończony
finished	zakończone
finished	skończone
longer	dłuższa
longer	dłuższy
longer	dłuższe
longer	dłużej
rugby	rugby
earth	earth
earth	ziemi
earth	ziemia
access	dostęp
prior	uprzednie
seasons	seasons
journal	dziennik
journal	czasopismo
journal	journal
journal	pamiętnik
beginning	początku
beginning	poczatek
beginning	początek
software	oprogramowanie
software	oprogramowania
software	software
famous	sławne
famous	znana
famous	znany
famous	sławny
famous	sławna
religious	religijny
religious	religijnych
religious	religia
religious	religijna
religious	religijne
martin	marcin
martin	martin
god	bóg
god	boże
bit	bit
hours	godziny
hours	godzin
running	uruchomiony
running	bieganie
brought	przyniósł
missing	brak
missing	brakuje
missing	brakujące
missing	zaginiony
missing	zaginął
economic	gospodarcza
economic	ekonomiczne
economic	gospodarcze
economic	ekonomiczna
economic	ekonomiczny
structure	struktura
structure	konstrukcja
structure	struktury
rural	wiejskich
rural	wiejski
remained	pozostał
decision	decyzje
decision	orzeczenie
decision	decyzja
decision	rozstrzygnięcie
decision	decyzji
certain	pewne
hit	uderzenie
hit	hit
hit	uderzył
hit	trafienie
minutes	minuty
minutes	minut
whole	całość
whole	cały
whole	cała
whole	całe
joseph	józefie
joseph	joseph
joseph	józef
joseph	józefa
lord	panie
web	web
web	sieć
decided	zdecydował
decided	zdecydowałem
decided	zdecydowała
operations	operacji
operations	operacje
function	funkcja
function	funkcje
function	funkcji
louis	ludwik
louis	louis
louis	ludwika
assembly	zgromadzenie
assembly	montaż
queen	królowej
queen	królowa
queen	queen
queen	królowo
queen	królową
security	bezpieczeństwa
security	ochrona
security	bezpieczeństwo
uses	wykorzystuje
uses	używa
uses	zastosowań
uses	zastosowania
ohio	ohio
jan	jan
operation	funkcjonowanie
